#This file gives summary info for total, by class and by class/fam
#See file globodera_rostochiensis.PRJEB13504.WBPS16.genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file globodera_rostochiensis.PRJEB13504.WBPS16.genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file globodera_rostochiensis.PRJEB13504.WBPS16.genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
26011436	3091975	22919461	28.4409333341963	3.3807689374013	25.060164396795


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	1820253	1.99026667441086
Same: class (but NOT same family)	36361	0.0397571582347363
Same: class/fam	1783892	1.95050951617613
Same: name#class/fam	134200	0.146734430711521
Different: class	1271722	1.39050226299044


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA/PIF-Harbinger	37640	4	4	0.0411556182711001	4.37360449214667e-06	4.37360449214667e-06
DNA/PiggyBac	12247	0	0	0.0133908835538301	0	0
DNA/Sola-2	77207	389	389	0.084418220506292	0.000425333036861263	0.000425333036861263
DNA/Sola-3	2422	0	0	0.00264821751999481	0	0
DNA/TcMar-Mariner	40051	4	4	0.0437918083787416	4.37360449214667e-06	4.37360449214667e-06
DNA/TcMar-Pogo	15966	111	111	0.0174572423304034	0.00012136752465707	0.00012136752465707
DNA/TcMar-Tc1	55758	553	553	0.0609658598182785	0.000604650821039277	0.000604650821039277
DNA/TcMar-Tc2	224721	6151	6151	0.245710193769923	0.00672551030779854	0.00672551030779854
DNA/TcMar-Tc4	8119	0	0	0.0088773237179347	0	0
DNA/TcMar-Tigger	30287	0	0	0.0331158398134115	0	0
DNA/hAT	291236	595	595	0.318437769468707	0.000650573668206817	0.000650573668206817
DNA/hAT-Ac	430790	6122	6122	0.471026269792966	0.00669380167523048	0.00669380167523048
DNA/hAT-Blackjack	30545	0	0	0.033397937303155	0	0
DNA/hAT-Tag1	10099	591	591	0.0110422579415473	0.00064620006371467	0.00064620006371467
DNA/hAT-Tip100	261182	598	598	0.285576692116963	0.000653853871575927	0.000653853871575927
DNA/hAT-hAT19	786576	6918	6918	0.860043081753689	0.00756414896916766	0.00756414896916766
DNA/hAT-hATx	29019	1419	1419	0.031729407189401	0.00155153619358903	0.00155153619358903
LINE/CR1	12779	39	39	0.0139725729512856	4.264264379843e-05	4.264264379843e-05
LINE/L1	35698	19	19	0.0390322332901629	2.07746213376967e-05	2.07746213376967e-05
LINE/L2	207295	534	534	0.226656585799886	0.00058387619970158	0.00058387619970158
LINE/R1	3945	0	0	0.00431346743037965	0	0
LTR	30609	61	61	0.0334679149750293	6.66974685052367e-05	6.66974685052367e-05
LTR/Copia	23897	123	123	0.0261290066372072	0.00013448833813351	0.00013448833813351
LTR/ERV1	6693	0	0	0.00731813371648441	0	0
LTR/Gypsy	647969	3814	3814	0.708490032292946	0.00417023188326185	0.00417023188326185
LTR/Pao	135807	158	158	0.148491526316241	0.000172757377439793	0.000172757377439793
LTR/Unknown	125982	1461	1461	0.137748860282405	0.00159745904075657	0.00159745904075657
Low_complexity	487351	475	475	0.532870130713043	0.000519365533442417	0.000519365533442417
RC/Helitron	225813	1787	1787	0.246904187796279	0.00195390780686652	0.00195390780686652
SINE/5S	8735	4	4	0.00955085880972529	4.37360449214667e-06	4.37360449214667e-06
SINE/tRNA-Deu	48947	15	15	0.0535187047692757	1.640101684555e-05	1.640101684555e-05
SINE/tRNA-Meta	6276	0	0	0.00686218544817812	0	0
Satellite	251049	1812	1812	0.274497258537232	0.00198124283494244	0.00198124283494244
Simple_repeat	1569014	5514	5514	1.71556166966025	0.00602901379242418	0.00602901379242418
Unknown	18374401	1739333	1739333	20.0905906885261	1.90178865553474	1.90178865553474
snRNA	38594	4	4	0.0421987229424771	4.37360449214667e-06	4.37360449214667e-06
