#This file gives summary info for total, by class and by class/fam
#See file ditylenchus_dipsaci.PRJNA498219.WBPS16.genomic.fa.out.parseRM.all-repeats.light.tab for more info about repeats one by one
#Overlap or double corresponds to DNA fragments that are masked by several elements. These amounts need to be subtracted in order to get more accurate TE amount
#In file ditylenchus_dipsaci.PRJNA498219.WBPS16.genomic.fa.out.parseRM.overlaps-all.tab, all overlaps are listed.
#In file ditylenchus_dipsaci.PRJNA498219.WBPS16.genomic.fa.out.parseRM.overlaps-if-diff-TEs.tab, all overlaps by DIFFERENT CLASSES are listed.
#Note that these files may not be parsed correctly if names are not formatted consistently (Rname#Rclass/Rfam)

#TOTAL
AMOUNT		PERCENTAGE
masked	in-double	masked_minus_in-double	%masked	%in-double	%masked_minus_%in-double
147610757	19020622	128590135	64.9612827943158	8.37069079366477	56.590592000651


#SUMMARY OF OVERLAPS
Masked_by:	Amount	%
Same: class (all)	11483453	5.05369563133015
Same: class (but NOT same family)	566912	0.249489478273533
Same: class/fam	10916541	4.80420615305661
Same: name#class/fam	1803503	0.793694651964946
Different: class	7537169	3.31699516233462


#DETAILS BY CLASS
	AMOUNT			PERCENTAGE_OF_GENOME
class_name	masked	in_double[same_class]	in_double[same_class/family]	masked	in_double[same_class]	in_double[same_class/family]
DNA/Academ-1	22486	275	275	0.00989575173652817	0.000121023380216368	0.000121023380216368
DNA/CMC-Chapaev	233718	380	380	0.102855790463306	0.000167232307208072	0.000167232307208072
DNA/CMC-EnSpm	1136220	40507	40507	0.500033400252515	0.0178265238633615	0.0178265238633615
DNA/IS3EU	88225	946	946	0.0388265007985057	0.000416320427944306	0.000416320427944306
DNA/Kolobok-Hydra	477203	385	385	0.210009891306878	0.000169432732302915	0.000169432732302915
DNA/MULE-MuDR	3926316	92224	92224	1.72791285133676	0.0405864007893611	0.0405864007893611
DNA/Maverick	594651	7909	7909	0.261696996614703	0.00348063241502274	0.00348063241502274
DNA/Merlin	582380	3859	3859	0.256296713346939	0.00169828808819987	0.00169828808819987
DNA/PIF-Harbinger	480559	1479	1479	0.211486816630537	0.000650885743054575	0.000650885743054575
DNA/PIF-Spy	252435	26	26	0.111092861763341	1.14422104931839e-05	1.14422104931839e-05
DNA/PiggyBac	513346	3163	3163	0.22591588414746	0.00139198891499772	0.00139198891499772
DNA/Sola-2	163014	57	57	0.0717400192821491	2.50848460812108e-05	2.50848460812108e-05
DNA/Sola-3	81981	2551	2551	0.0360786099400657	0.00112265688338893	0.00112265688338893
DNA/TcMar-Fot1	7790	0	0	0.00342826229776548	0	0
DNA/TcMar-ISRm11	103649	2107	2107	0.0456143721310775	0.000927259134966862	0.000927259134966862
DNA/TcMar-Mariner	369108	1122	1122	0.162438901181466	0.000493775391282781	0.000493775391282781
DNA/TcMar-Pogo	2124620	55077	55077	0.935013433001089	0.0242385625897342	0.0242385625897342
DNA/TcMar-Tc1	967984	10084	10084	0.425995257001311	0.00443781733127947	0.00443781733127947
DNA/TcMar-Tc2	5481003	139718	139718	2.41210730922201	0.0614877986802563	0.0614877986802563
DNA/TcMar-Tc4	86832	216	216	0.0382134623670824	9.50583640972199e-05	9.50583640972199e-05
DNA/TcMar-Tigger	1046258	14006	14006	0.46044247177606	0.00616383077567436	0.00616383077567436
DNA/hAT	999115	21729	21729	0.439695543726823	0.00956260737716894	0.00956260737716894
DNA/hAT-Ac	2973106	28396	28396	1.30841941040569	0.0124966541986327	0.0124966541986327
DNA/hAT-Blackjack	141484	21	21	0.0622649888237549	9.24178539834082e-06	9.24178539834082e-06
DNA/hAT-Charlie	574037	13124	13124	0.252625084033684	0.00577567578894404	0.00577567578894404
DNA/hAT-Tag1	176911	1456	1456	0.0778558807907559	0.000640763787618297	0.000640763787618297
DNA/hAT-Tip100	418273	3903	3903	0.184075681139058	0.00171765182903449	0.00171765182903449
DNA/hAT-hAT19	172923	28	28	0.076100821735109	1.23223805311211e-05	1.23223805311211e-05
DNA/hAT-hATm	235294	5941	5941	0.1035493644532	0.00261454509769251	0.00261454509769251
DNA/hAT-hobo	127481	211	211	0.0561024783031374	9.28579390023768e-05	9.28579390023768e-05
LINE/CR1	229461	535	535	0.100982348537556	0.000235445485148207	0.000235445485148207
LINE/I	25505	573	573	0.0112243684087944	0.000252168715869014	0.000252168715869014
LINE/I-Jockey	225818	2544	2544	0.0993791188134537	0.00111957628825615	0.00111957628825615
LINE/L1	88393	12	12	0.0389004350816924	5.28102022762333e-06	5.28102022762333e-06
LINE/L1-Tx1	2256	0	0	0.000992831802793185	0	0
LINE/Penelope	84248	2121	2121	0.0370762826780675	0.000933420325232423	0.000933420325232423
LINE/R2-NeSL	1280	0	0	0.000563308824279821	0	0
LTR/Copia	334836	10171	10171	0.147356307411374	0.00447610472792974	0.00447610472792974
LTR/ERV1	38284	52	52	0.0168482148661943	2.28844209863677e-05	2.28844209863677e-05
LTR/ERVK	35281	1659	1659	0.0155266395542315	0.000730101046468925	0.000730101046468925
LTR/Gypsy	2986168	82332	82332	1.31416780092346	0.0362330797817236	0.0362330797817236
LTR/Ngaro	30351	205	205	0.0133570204107163	9.02174288885652e-05	9.02174288885652e-05
LTR/Pao	180523	22	22	0.0794454678792705	9.68187041730943e-06	9.68187041730943e-06
LTR/Unknown	292994	3305	3305	0.128942270047689	0.00145448098769126	0.00145448098769126
Low_complexity	153140	110	110	0.067394619804853	4.84093520865471e-05	4.84093520865471e-05
RC/Helitron	2634269	150659	150659	1.15930232283342	0.0663027688727919	0.0663027688727919
SINE/5S	168995	1543	1543	0.0743721677806003	0.000679051184268566	0.000679051184268566
SINE/tRNA	6276	0	0	0.002761973579047	0	0
Satellite	795614	36	36	0.350137802281692	1.584306068287e-05	1.584306068287e-05
Simple_repeat	1168955	3780	3780	0.514439583348452	0.00166352137170135	0.00166352137170135
Unknown	111345883	10173224	10173224	49.0016550321317	4.47708347701192	4.47708347701192
rRNA	27270	1664	1664	0.012001118467274	0.000732301471563768	0.000732301471563768
snRNA	10998	0	0	0.00484005503861678	0	0
tRNA	25541	414	414	0.0112402114694773	0.000182195197853005	0.000182195197853005
